table_file,SelectionMode,GlobalDropChance,MaxDrops,ScatterRadius,DefaultImpulse,entry_index,item_file,DropChance,MaxStacks,ImpulseStrength,ImpulseSpreadDegrees
Enemy_EliteDrops,1,1.0,1,48.0,400.0,1,Weapon_Brawl_MechGlove,,1,,
Enemy_EliteDrops,1,1.0,1,48.0,400.0,2,Weapon_Brawl_RiotBracer,,1,,
Enemy_EliteDrops,1,1.0,1,48.0,400.0,3,Weapon_Stab_LaserPointer,,1,,
Enemy_EliteDrops,1,1.0,1,48.0,400.0,4,Weapon_Slash_ViolinBow,,1,,
Enemy_EliteDrops,1,1.0,1,48.0,400.0,5,Weapon_Slash_BunnySword,,1,,
Enemy_EliteDrops,1,1.0,1,48.0,400.0,6,Weapon_Throw_Boomerang,,1,,
Enemy_EliteDrops,1,1.0,1,48.0,400.0,7,Weapon_Throw_EmojiBomb,,1,,
Enemy_EliteDrops,1,1.0,1,48.0,400.0,8,Weapon_Throw_GravityGrenade,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,1,Weapon_Brawl_DiscoBall,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,2,Weapon_Brawl_RiotGlove,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,3,Weapon_Slash_Baguette,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,4,Weapon_Slash_BarrierGate,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,5,Weapon_Slash_ExpandBaton,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,6,Weapon_Stab_drill,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,7,Weapon_Stab_umbrella,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,8,Weapon_Stab_Corkscrew,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,9,Weapon_Throw_ECore,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,10,Weapon_Throw_Briefcase,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,11,Weapon_Throw_MetalSpike,,1,,
Enemy_NormalDrops,1,0.2,1,48.0,400.0,12,Weapon_Throw_SmokeGrenade,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,1,Weapon_Brawl_DiscoBall,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,2,Weapon_Brawl_RiotGlove,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,3,Weapon_Slash_Baguette,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,4,Weapon_Slash_BarrierGate,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,5,Weapon_Slash_ExpandBaton,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,6,Weapon_Stab_drill,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,7,Weapon_Stab_umbrella,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,8,Weapon_Stab_Corkscrew,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,9,Weapon_Throw_ECore,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,10,Weapon_Throw_Briefcase,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,11,Weapon_Throw_MetalSpike,,1,,
Enemy_SpecialDrops,1,1.0,1,48.0,400.0,12,Weapon_Throw_SmokeGrenade,,1,,
