file,SkillId,DisplayName,SkillType,AnimationName,DamageMultiplier,DashDamageMultiplier,CooldownSeconds,ShowHitboxDebug,Description,ActivationAction,AllowHoldContinuousAttack,WarmupDuration,ActiveDuration,RecoveryDuration,WarmupAnimationSpeed,ActiveAnimationSpeed,RecoveryAnimationSpeed,DashAnimationName,DashWarmupDuration,DashActiveDuration,DashRecoveryDuration,DashWarmupAnimationSpeed,DashActiveAnimationSpeed,DashRecoveryAnimationSpeed,DashAttackSpeedSource,DashAttackFixedSpeed,DashAttackSpeedMultiplier,DashAttackDecayWindow
WeaponSkill_Brawl_DiscoBall,WeaponSkill_Brawl_DiscoBall,迪斯科闪光球攻击,1,Weapon_Brawl_DiscoBall,0.6,1.2,0.5,false,每次攻击到敌人时都15%概率触发闪光眩晕范围敌人，冲刺攻击时效果翻倍,,true,0.19,0.3,0.178,1.0,1.0,1.0,Weapon_Brawl_DiscoBall_RunAttack,0.15,0.15,0.37,0.7,1.0,1.0,-1,-1,-1,3
WeaponSkill_Brawl_MechGlove,WeaponSkill_Brawl_MechGlove,机械冲撞臂攻击,1,Weapon_Brawl_MechGlove,0.5,0.8,0.5,false,第三次攻击到敌人后击退敌人5 m，如果三次攻击都击中敌人则最后一击发生暴击,,true,0.5,0.43,0.4,1.5,1.0,1.0,Weapon_Brawl_MechGlove_RunAttack,0.19,0.51,0.1,0.7,1.0,1.0,0,-1,-1,0
WeaponSkill_Brawl_RiotBracer,WeaponSkill_Brawl_RiotBracer,镇暴护腕攻击,1,Weapon_Brawl_RiotBracer,1.0,1.5,0.5,false,每次攻击到敌人时击退该敌人,,true,0.19,0.3,0.18,1.0,1.0,1.0,Weapon_Brawl_RiotBracer_RunAttack,0.23,0.32,0.28,0.8,1.0,1.2,0,-1,1.5,0
WeaponSkill_Brawl_RiotGlove,WeaponSkill_Brawl_RiotGlove,镇暴拳套攻击,1,Weapon_Brawl_RiotGlove,0.6,1.2,0.5,false,每次攻击到敌人时，都有20%概率使这一次的伤害发生暴击，冲刺攻击时效果翻倍,,true,0.19,0.3,0.178,1.0,1.0,1.0,Weapon_Brawl_RiotGlove_RunAttack,0.15,0.15,0.37,0.7,1.0,1.0,-1,-1,-1,3
WeaponSkill_Slash_Baguette,WeaponSkill_Slash_Baguette,法棍攻击,1,Weapon_Slash_Baguette,1.0,1.2,0.5,false,手持该武器攻击敌人后，有20%概率生成面包碎块，冲刺攻击概率翻倍，接触后恢复生命,,true,0.3,0.2,0.17,1.0,1.0,1.0,Weapon_Slash_Baguette_RunAttack,0.17,0.23,0.27,0.7,1.0,1.0,0,-1,1.0,-1
WeaponSkill_Slash_BarrierGate,WeaponSkill_Slash_BarrierGate,开刃升降杆攻击,1,Weapon_Slash_BarrierGate,1.0,1.2,0.5,false,攻击到敌人时使该敌人移动速度减少50%，持续1秒，突刺攻击效果翻倍，持续0.5秒,,true,0.53,0.31,0.16,1.0,1.0,1.0,Weapon_Slash_BarrierGate_RunAttack,0.35,0.25,0.23,0.9,1.0,1.0,0,-1,0.8,0
WeaponSkill_Slash_BunnySword,WeaponSkill_Slash_BunnySword,光剑攻击,1,Weapon_Slash_BunnySword,0.6,0.8,0.5,false,攻击时召唤浮游炮，冷却10秒，浮游炮每秒对目标的敌人发射激光造成伤害，持续5秒。每次攻击消耗电量，电量不足无法攻击,,true,0.2,0.47,0.16,0.7,0.8,0.7,Weapon_Slash_BunnySword_RunAttack,0.17,0.49,0.07,0.7,0.7,0.5,0,-1,1.0,0
WeaponSkill_Slash_ExpandBaton,WeaponSkill_Slash_ExpandBaton,甩棍攻击,1,Weapon_Slash_ExpandBaton,1.0,1.2,0.5,false,手持该武器攻击敌人3次后，该武器的下一次攻击触发暴击,,true,0.3,0.2,0.17,1.0,1.0,1.0,Weapon_Slash_ExpandBaton_RunAttack,0.17,0.23,0.27,0.7,1.0,1.0,0,-1,1.0,0
WeaponSkill_Slash_ViolinBow,WeaponSkill_Slash_ViolinBow,音乐家的琴弓攻击,1,Weapon_Slash_ViolinBow,1.0,1.2,0.5,false,攻击到敌人时生成一道对敌人造成伤害和减速的音波,,true,0.17,0.2,0.16,0.5,0.5,0.6,Weapon_Slash_ViolinBow_RunAttack,0.3,0.27,0.16,0.9,0.8,0.6,0,-1,1.0,0
WeaponSkill_Stab_Corkscrew,WeaponSkill_Stab_Corkscrew,开瓶器攻击,1,Weapon_Stab_Corkscrew,1.0,0.7,0.5,false,攻击到敌人时使该敌人在三秒内损失10%的生命值，效果不可叠加,,true,0.2,0.2,0.1,0.7,1.0,0.5,Weapon_Stab_Corkscrew_RunAttack,0.1,0.4,0.17,1.0,1.0,0.7,0,-1,-1,3
