卡牌名称,卡牌ID,卡牌稀有度,构筑职业ID,构筑流派分类,效果,思路
强化骨骼,BuildNormal_A_001,Common,normal,生存强化,血量上限提升25%/50%,
损伤缓冲,BuildNormal_A_002,Common,normal,生存强化,收到伤害后的无敌时间提升100%/200%,
应急修复,BuildNormal_A_003,Common,normal,生存强化,收到伤害后若生命值处于15%/30%以下，则在5秒内恢复当前生命最大值的15%/30%,
神经稳压,BuildNormal_A_004,Rare,normal,生存强化,受到生命值10%以下的伤害时不会被打断,
损伤回收,BuildNormal_A_005,Rare,normal,生存强化,收到伤害后一段时间内对敌人造成伤害即可恢复部分损失的生命,
濒死守护,BuildNormal_A_006,Epic,normal,生存强化,受到致死伤害时保留1点生命并进入1秒无敌，冷却60秒,
动能增幅,BuildNormal_B_001,Common,normal,移动强化,奔跑状态持续越久移动速度速度越快，提升15%/30%,
闪避扩容,BuildNormal_B_002,Common,normal,移动强化,闪避的最大充能提升1/2,
闪避缓存,BuildNormal_B_003,Common,normal,移动强化,闪避后的1秒 / 2秒 内使用后撤闪避不消耗CD,
干扰尾流,BuildNormal_B_004,Rare,normal,移动强化,奔跑时在身后生成一阵烟雾，使烟雾内的敌人受到短暂的眩晕,
相位规避,BuildNormal_B_005,Rare,normal,移动强化,闪避期间瞬移到指定位置，无视碰撞,
剧终谢幕,BuildNormal_B_006,Epic,normal,移动强化,使用后撤闪避的瞬间在原地放置一个背包排序最靠前的投掷物,
库存扩容,BuildNormal_C_001,Common,normal,其他强化,背包个数提升1/2,
资产回收,BuildNormal_C_002,Common,normal,其他强化,摧毁场上的道具时，50%/75% 概率掉落一枚金币,
空载增幅,BuildNormal_C_003,Common,normal,其他强化,背包中没有任何武器时，基础伤害提升25%/ 50%,
数据采集,BuildNormal_C_004,Rare,normal,其他强化,每次击败敌人后，都有10%的概率生成一个随机的一次性道具,
,BuildNormal_C_005,Rare,normal,其他强化,,
武器同步,BuildNormal_C_006,Epic,normal,其他强化,攻击命中时，有一定概率同时触发当前装备的其他武器的一次攻击效果,
,,,,,,
