卡牌名称,卡牌ID,卡牌稀有度,构筑职业ID,构筑流派分类,效果,思路
堆栈扩容,BuildThrow_A_001,Common,Throw,投掷技能强化,投掷核心生成乱码块获得1/2/3 次充能,
脉冲扩散,BuildThrow_A_002,Common,Throw,投掷技能强化,乱码块每秒触发一道朝四周扩散300px/400px/500px的脉冲，每次对范围内的敌人造成10伤害,
节点串联,BuildThrow_A_003,Common,Throw,投掷技能强化,400px/500px/600px范围内的乱码块彼此链接形成障碍区，对穿过的敌人造成10伤害并减速50%持续3秒,
冲击投放,BuildThrow_A_004,Common,Throw,投掷技能强化,乱码块摧毁时对范围内的所有目标造成30/40/50的伤害并造成击退,
即时回收,BuildThrow_A_005,Common,Throw,投掷技能强化,每次对敌人造成伤害时都减少乱码块的生成CD 1秒/2秒,
数据升级,BuildThrow_A_006,Rare,Throw,投掷技能强化,乱码块升级为中型/大型投掷道具,
复制粘贴,BuildThrow_A_007,Rare,Throw,投掷技能强化,在其他家具附近生成乱码块，乱码块会变成该家具,
进程分叉,BuildThrow_A_008,Rare,Throw,投掷技能强化,乱码块在投掷时分裂为2/3个
对象转型,BuildThrow_A_009,Epic,Throw,投掷技能强化,举起乱码块持续8秒后，将乱码块转化为一个护盾，根据乱码块的投掷等级抵挡1/2/3次伤害,
坐标寻址,BuildThrow_A_010,Epic,Throw,投掷技能强化,乱码块可以在指定位置生成,
轻量化,BuildThrow_B_001,Common,Throw,投掷道具强化,所有一次性投掷道具的投掷等级下降1/2个等级，但伤害不变,
重量化,BuildThrow_B_002,Common,Throw,投掷道具强化,所有一次性投掷道具的投掷等级上升1/2个等级，但投掷距离不变,
,BuildThrow_B_003,Common,Throw,投掷道具强化,所有投掷道具的减速效果降低 50%/75%,
,BuildThrow_B_004,Common,Throw,投掷道具强化,,
,BuildThrow_B_005,Common,Throw,投掷道具强化,,
,BuildThrow_B_006,Rare,Throw,投掷道具强化,提升投掷的伤害100%/200%，但是投掷道具持有状态的移动速度降低90%,
,BuildThrow_B_007,Rare,Throw,投掷道具强化,持有投掷道具时获得霸体状态，且投掷道具代替玩家收到伤害,
,BuildThrow_B_008,Rare,Throw,投掷道具强化,投掷物每命中一个敌人，下一次投掷伤害提高 20%/30%，最多叠加3层；投掷未命中时清空层数,
,BuildThrow_B_009,Epic,Throw,投掷道具强化,,
,BuildThrow_B_010,Epic,Throw,投掷道具强化,拾取一次性道具时将其转变为其他一次性道具,
,BuildThrow_C_001,Common,Throw,投掷武器强化,,
,BuildThrow_C_002,Common,Throw,投掷武器强化,,
,BuildThrow_C_003,Common,Throw,投掷武器强化,,
,BuildThrow_C_004,Common,Throw,投掷武器强化,,
,BuildThrow_C_005,Common,Throw,投掷武器强化,,
,BuildThrow_C_006,Rare,Throw,投掷武器强化,投掷武器额外获得1/2次充能,
,BuildThrow_C_007,Rare,Throw,投掷武器强化,投掷类武器的CD降低25%/50%,
,BuildThrow_C_008,Rare,Throw,投掷武器强化,,
,BuildThrow_C_009,Epic,Throw,投掷武器强化,,
,BuildThrow_C_010,Epic,Throw,投掷武器强化,,
